image,item_name,price,rank1
"https://images-na.ssl-images-amazon.com/images/I/71c6BO65hAL._AC_UL200_SR200,200_.jpg","
            Acer Chromebook Spin 11 CP311-1H-C5PN Convertible Laptop, Celeron N3350, 11.6"" HD Touch, 4GB DDR4, 32GB eMMC, Google Chrome
        ,   ",$309.00,#80
"https://images-na.ssl-images-amazon.com/images/I/7156SbwTQ1L._AC_UL200_SR200,200_.jpg","
            Hmrope 100pcs Cable Zip Ties Heavy Duty 8 Inch, Premium Plastic Wire Ties with 50 Pounds Tensile Strength, Self-Locking Black Nylon Tie Wraps for Indoor and Outdoor
        ,
            ,
            ,
        ,   ",$5.49,#81
"https://images-na.ssl-images-amazon.com/images/I/717RaT9hqTL._AC_UL200_SR200,200_.jpg","
            Orzly Carry Case Compatible With Nintendo Switch - BLACK Protective Hard Portable Travel Carry Case Shell Pouch for Nintendo Switch Console & Accessories
        ,
            ,
            ,
        ,   ",$14.99,#82
"https://images-na.ssl-images-amazon.com/images/I/61Ww4abGclL._AC_UL200_SR200,200_.jpg","
            Kindle - Now with a Built-in Front Light - Black - Ad-Supported + Kindle Unlimited (with auto-renewal)
        ,
            ,
            ,
        , ","$89.99,$109.99",#83
"https://images-na.ssl-images-amazon.com/images/I/61vPhw-7BxL._AC_UL200_SR200,200_.jpg","
            TP-Link AC1200 Gigabit Smart WiFi Router - 5GHz Gigabit Dual Band MU-MIMO Wireless Internet Router, Supports Beamforming, Guest WiFi and AP mode, Long Range Coverage by 4 Antennas(Archer A6), Black
        ,
            ,
            ,
        ,   ",$44.99,#84
"https://images-na.ssl-images-amazon.com/images/I/81IrtcgZVML._AC_UL200_SR200,200_.jpg","
            Neewer 50-In-1 Action Camera Accessory Kit Compatible with GoPro Hero 8 Max 7 6 5 4 Black GoPro 2018 Session Fusion Silver White Insta360 DJI AKASO APEMAN Campark SJCAM Action Camera etc
        ,
            ,
            ,
        ,   ",$27.99,#85
"https://images-na.ssl-images-amazon.com/images/I/71N-RKXMpuL._AC_UL200_SR200,200_.jpg","
            Zink Polaroid 2x3ʺ Premium ZINK Zero Photo Paper 50-Pack - Compatible with Polaroid Snap / SnapTouch Instant Print Digital Cameras & Polaroid ZIP Mobile Photo Printer
        ,
            ,
            ,
        ,   ",$24.64,#86
"https://images-na.ssl-images-amazon.com/images/I/71qnT0dSWXL._AC_UL200_SR200,200_.jpg","
            GE, White, 6 Outlet Surge Protector 2 Pack, 10 Ft Extension Cord, Power Strip, 800 Joules, Flat Plug, Twist-to-Close Safety Covers, 46862-1
        ,
            ,
            ,
        ,   ",$19.99,#87
"https://images-na.ssl-images-amazon.com/images/I/41fziVetM7L._AC_UL200_SR200,200_.jpg","
            Fire TV Cube, hands-free with Alexa built in, 4K Ultra HD, streaming media player, released 2019
        ,
            ,
            ,
        ,   ",$119.99,#88
"https://images-na.ssl-images-amazon.com/images/I/91UGDU8ImBL._AC_UL200_SR200,200_.jpg","
            Cool Brand Stickers 101 Pack Decals for Laptop Computer Skateboard Water Bottles Car Teens Sticker
        ,
            ,
            ,
        ,   ",$6.99,#89
"https://images-na.ssl-images-amazon.com/images/I/61tdXN-FsqL._AC_UL200_SR200,200_.jpg","
            VELCRO Brand ONE-WRAP Cable Ties | 100Pk | 8 x 1/2"" Black Cord Organization Straps | Thin Pre-Cut Design | Wire Management for Organizing Home, Office and Data Centers
        ,
            ,
            ,
        ,   ",$12.49,#90
"https://images-na.ssl-images-amazon.com/images/I/41J52qDgupL._AC_UL200_SR200,200_.jpg","
            TP-Link Deco Mesh WiFi System –Up to 5,500 sq. ft. Whole Home Coverage and 100+ Devices,WiFi Router/Extender Replacement, Parental Controls/Anitivirus, Seamless Roaming(Deco M5 3-Pack)
        ,
            ,
            ,
        ,   ",$162.84,#91
"https://images-na.ssl-images-amazon.com/images/I/61gAv5rkK3L._AC_UL200_SR200,200_.jpg","
            Nintendo Joy-Con (L/R) - Neon Pink / Neon Green
        ,
            ,
            ,
        ,   ",$79.99,#92
"https://images-na.ssl-images-amazon.com/images/I/81HX5N0RPWL._AC_UL200_SR200,200_.jpg","
            HP Pavilion 22cwa 21.5-Inch Full HD 1080p IPS LED Monitor, Tilt, VGA and HDMI (T4Q59AA) - Black
        ,
            ,
            ,
        ,   ",$99.99,#93
"https://images-na.ssl-images-amazon.com/images/I/51ZO8whiXmL._AC_UL200_SR200,200_.jpg","
            Ring Spotlight Cam Battery (Black) with Echo Show 5 (Charcoal)
        ,
            ,
            ,
        , ","$199.99,$597.00",#94
"https://images-na.ssl-images-amazon.com/images/I/81Kt8d2yXkL._AC_UL200_SR200,200_.jpg","
            [Upgraded Version] RunningSnail Emergency Hand Crank Self Powered AM/FM NOAA Solar Weather Radio with LED Flashlight, 1000mAh Power Bank for iPhone/Smart Phone
        ,
            ,
            ,
        ,   ",$19.90,#95
"https://images-na.ssl-images-amazon.com/images/I/6162WMQWhVL._AC_UL200_SR200,200_.jpg","
            Apple iPad (10.2-inch, Wi-Fi, 32GB) - Space Gray (Latest Model)
        ,
            ,
            ,
        ,   ",$319.99,#96
"https://images-na.ssl-images-amazon.com/images/I/81lvawIB5kL._AC_UL200_SR200,200_.jpg","
            GE 6 Outlet Surge Protector, 10 Ft Extension Cord, Power Strip, 600 Joules, Twist-to-Close Safety Covers, Black, 37442
        ,
            ,
            ,
        ,   ",$12.99,#97
"https://images-na.ssl-images-amazon.com/images/I/51szPIzkLXL._AC_UL200_SR200,200_.jpg","
            Ring Floodlight Camera Motion-Activated HD Security Cam Two-Way Talk and Siren Alarm, White
        ,
            ,
            ,
        ,   ",$249.99,#98
"https://images-na.ssl-images-amazon.com/images/I/611kt5mpzvL._AC_UL200_SR200,200_.jpg","
            Wansview Wireless Security Camera, IP Camera 1080P HD, WiFi Home Indoor Camera for Baby/Pet/Nanny, Motion Detection, 2 Way Audio Night Vision, Works with Alexa, with TF Card Slot and Cloud
        ,
            ,
            ,
        ,   ",$29.99,#99
